Transaction Amount,Transaction Frequency,Recipient Verification Status,Recipient Blacklist Status,Device Fingerprinting,VPN or Proxy Usage,Geo-Location Flags,Behavioral Biometrics,Time Since Last Transaction,Social Trust Score,Account Age,High-Risk Transaction Times,Past Fraudulent Behavior Flags,Location-Inconsistent Transactions,Normalized Transaction Amount,Transaction Context Anomalies,Fraud Complaints Count,Merchant Category Mismatch,User Daily Limit Exceeded,Recent High-Value Transaction Flags,Label
36.90706552196081,6,verified,0,0,0,normal,0.35728745044640225,23.82594842084447,17.22576154101364,3.934289851050419,0,0,0,0.5205771170664302,0.747143472779124,0,0,0,0,0
37.87920880189004,0,verified,1,0,1,high-risk,0.5679113361688707,8.692169133638213,87.5128382824635,0.16544747274389426,0,0,0,0.6986908724830541,0.6313389419721771,0,0,0,0,1
1250.9850770386497,2,recently_registered,1,0,0,high-risk,0.42005235165015326,14.60662192465241,5.917945738434205,2.9280836586866403,0,0,1,0.6536756031821668,0.6488351090253964,0,0,0,0,1
2972.5055676643988,3,recently_registered,0,0,0,high-risk,1.795077628080022,23.79196391112701,72.80066437175641,4.414699192367188,0,1,1,0.3419251998610341,0.15728928710118484,0,0,0,0,1
501.3349597414424,2,verified,0,0,0,normal,0.44734225994686583,6.929572576283409,39.94187304067219,4.62973241798143,0,0,0,0.6539386144181417,0.19694399670794413,1,0,0,0,0
342.90981764089327,1,verified,0,0,0,normal,0.8151869152108816,8.442338438718037,81.77650716215574,0.9116702311283348,0,0,0,0.14723600655954971,1.5018243873341612,0,0,1,0,0
298.5398736996758,2,recently_registered,0,1,0,normal,0.7050796532595477,8.929853620065163,52.41039374744902,3.008231984530566,0,1,0,0.4819075368004123,0.01106206684987035,1,1,0,0,0
3720.8614548522028,2,verified,0,0,0,high-risk,0.1680072634001893,19.58943104408742,42.591328736925945,3.037214639518716,1,0,0,0.6204585017177626,1.3285517983891408,0,1,0,0,1
516.7514351732129,4,verified,0,0,0,high-risk,0.12842063940174567,5.77214707953183,50.90731017458228,0.4361433121515629,0,0,0,0.3563843416076258,0.7242887307531162,1,0,1,0,0
77.20617102234843,4,verified,1,0,1,normal,0.020887708409721435,19.10177105732356,33.510119945292374,1.8417824570589874,0,1,0,0.28219928617476087,1.0202964586555712,1,0,0,0,1
3359.7820807618855,3,recently_registered,0,0,0,high-risk,0.8987769366104802,22.184810859134934,78.12438482153047,2.241296439918659,0,0,1,0.33775142238365996,1.566894066411239,0,0,0,1,1
2168.095242015147,1,recently_registered,1,0,0,high-risk,0.5974659807548183,2.846216421407691,33.48225742060495,0.4279666930682441,0,1,0,0.4192554079188624,0.5335450574909614,0,1,0,1,1
199.88846856554835,3,verified,0,0,0,high-risk,0.5978835929869837,0.6733002406897859,33.864863068291676,0.4627576042479209,0,0,0,0.5938848211941464,1.808895338987648,0,0,0,0,0
1043.265641370974,2,verified,0,0,0,normal,0.15738487795092654,7.233259452050859,97.79012284192137,3.7388386328316283,1,0,0,0.4384417347662434,0.9841263795159905,1,0,0,0,0
